name,price,link
Men's UA Phantom 4 Shoes,150,https://www.underarmour.ca/en-ca/p/sportswear/mens_ua_phantom_4_shoes/3027593.html?dwvar_3027593_color=301
Men's UA Phantom 4 Armour U Shoes,150,https://www.underarmour.ca/en-ca/p/sportswear/mens_ua_phantom_4_armour_u_shoes/3027883.html?dwvar_3027883_color=101
Unisex UA SlipSpeed™ Mega Shoes,170,https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_slipspeed_mega_shoes/3028539.html?dwvar_3028539_color=004
Men's UA Charged Assert 10 Running Shoes,95,https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=108
Unisex UA HOVR™ Mega 2 MVMNT Sportstyle Shoes,165,https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_hovr_mega_2_mvmnt_sportstyle_shoes/3026629.html?dwvar_3026629_color=003
Unisex UA Apparition Shoes,130,https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_apparition_shoes/3027595.html?dwvar_3027595_color=106
Unisex UA Fat Tire Venture Pro Shoes,160,https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_fat_tire_venture_pro_shoes/3027212.html?dwvar_3027212_color=104
Unisex UA Forge 96 Leather Shoes,150,https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_forge_96_leather_shoes/3027719.html?dwvar_3027719_color=200
Unisex Curry 11 'Championship Mindset' Basketball Shoes,190,https://www.underarmour.ca/en-ca/p/curry_brand_shoes_and_gear/unisex_curry_11_championship_mindset_basketball_shoes/3026617.html?dwvar_3026617_color=300
Men's UA Infinite Pro Breeze Running Shoes,175,https://www.underarmour.ca/en-ca/p/running/mens_ua_infinite_pro_breeze_running_shoes/3027187.html?dwvar_3027187_color=302
Men's Curry 1 Golf Shoes,190,https://www.underarmour.ca/en-ca/p/golf/mens_curry_1_golf_shoes/3027378.html?dwvar_3027378_color=001
Men's UA Micro G® Strikefast Tactical Shoes,130,https://www.underarmour.ca/en-ca/p/military_and_tactical_boots/mens_ua_micro_g_strikefast_tactical_shoes/3024953.html?dwvar_3024953_color=200
Men's UA Infinite Pro Armour U Running Shoes,175,https://www.underarmour.ca/en-ca/p/running/mens_ua_infinite_pro_armour_u_running_shoes/3027756.html?dwvar_3027756_color=001
Men's UA Surge 4 Wide (4E) Running Shoes,80,https://www.underarmour.ca/en-ca/p/running/mens_ua_surge_4_wide_4e_running_shoes/3028249.html?dwvar_3028249_color=001
